text,label
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I feel really down and depressed,sad
This makes me so sad right now,sad
I'm heartbroken about what happened today,sad
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I feel really down and depressed,sad
This makes me so sad right now,sad
I'm heartbroken about what happened today,sad
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I feel really down and depressed,sad
This makes me so sad right now,sad
I'm heartbroken about what happened today,sad
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I feel really down and depressed,sad
This makes me so sad right now,sad
I'm heartbroken about what happened today,sad
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I feel really down and depressed,sad
This makes me so sad right now,sad
I'm heartbroken about what happened today,sad
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I feel really down and depressed,sad
This makes me so sad right now,sad
I'm heartbroken about what happened today,sad
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I feel really down and depressed,sad
This makes me so sad right now,sad
I'm heartbroken about what happened today,sad
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I feel really down and depressed,sad
This makes me so sad right now,sad
I'm heartbroken about what happened today,sad
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I feel really down and depressed,sad
This makes me so sad right now,sad
I'm heartbroken about what happened today,sad
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I feel really down and depressed,sad
This makes me so sad right now,sad
I'm heartbroken about what happened today,sad
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I feel really down and depressed,sad
This makes me so sad right now,sad
I'm heartbroken about what happened today,sad
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I feel really down and depressed,sad
This makes me so sad right now,sad
I'm heartbroken about what happened today,sad
"Honestly, i feel lonely and miserable",sad
This situation brings me to tears and I can't help it,sad
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
I can't believe this happened,surprise
This is so unexpected and shocking right now,surprise
I'm amazed by this revelation today,surprise
"Honestly, wow, i never saw that coming",surprise
This is absolutely astonishing and I can't help it,surprise
